Quantify Compound Summary Report 

Printed Fri Nov 15 20:11:10 2024

Compound 1:  MITRAGYNINE

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
12	12	112719_Female_MitragynineHCl_PK_LLOQ1	QC	1:A,9	10.000	2.74	177286			177286.172	9.99	-0.1		2936964.000	
13	13	112719_Female_MitragynineHCl_PK_LQC1	QC	1:A,10	10.000	2.74	174282			174282.016	9.82	-1.8		2895585.000	
14	14	112719_Female_MitragynineHCl_PK_MQC1	QC	1:A,11	10.000	2.74	178702			178701.531	10.07	0.7		2977405.000	
15	15	112719_Female_MitragynineHCl_PK_HQC1	QC	1:A,12	10.000	2.74	179763			179763.375	10.13	1.3		2972510.000	
16	16	112719_R1_Mitra_F_PO50MPK_PreDose	Analyte	1:C,9	10.000	2.74	169775			169774.781	9.56	-4.4		2815186.000	
17	17	112719_R1_Mitra_F_PO50MPK_5min_10X	Analyte	1:C,10	10.000	2.74	169214			169214.234	9.53	-4.7		2804880.000	
18	18	112719_R1_Mitra_F_PO50MPK_10min_10X	Analyte	1:C,11	10.000	2.74	168972			168972.188	9.52	-4.8		2800187.000	
19	19	112719_R1_Mitra_F_PO50MPK_15min_10X	Analyte	1:C,12	10.000	2.74	177449			177449.469	10.00	-0.0		2943794.000	
20	20	112719_R1_Mitra_F_PO50MPK_30min_10X	Analyte	1:D,1	10.000	2.74	179447			179446.516	10.11	1.1		2978011.000	
21	21	112719_R1_Mitra_F_PO50MPK_45min_10X	Analyte	1:D,2	10.000	2.74	169240			169239.609	9.53	-4.7		2792145.000	
22	22	112719_R1_Mitra_F_PO50MPK_60min_10X	Analyte	1:D,3	10.000	2.73	169558			169558.016	9.55	-4.5		2781494.000	
23	23	112719_R1_Mitra_F_PO50MPK_2hr_10X	Analyte	1:D,4	10.000	2.74	169303			169302.859	9.54	-4.6		2783247.000	
24	24	112719_R1_Mitra_F_PO50MPK_4hr_10X	Analyte	1:D,5	10.000	2.74	169725			169725.109	9.56	-4.4		384276.753	
25	25	112719_R1_Mitra_F_PO50MPK_6hr_10X	Analyte	1:D,6	10.000	2.74	168973			168973.359	9.52	-4.8		2778208.000	
26	26	112719_R1_Mitra_F_PO50MPK_8hr	Analyte	1:D,7	10.000	2.74	169799			169798.547	9.57	-4.3		2781061.000	
27	27	112719_R1_Mitra_F_PO50MPK_12hr	Analyte	1:D,8	10.000	2.74	169291			169291.141	9.54	-4.6		2756617.000	
28	28	112719_R1_Mitra_F_PO50MPK_24hr	Analyte	1:D,9	10.000	2.74	171087			171086.797	9.64	-3.6		2792296.000	
29	29	112719_R1_Mitra_F_PO50MPK_36hr	Analyte	1:D,10	10.000	2.74	170171			170171.156	9.59	-4.1		2777543.000	
30	30	112719_R1_Mitra_F_PO50MPK_48hr	Analyte	1:D,11	10.000	2.74	169339			169339.359	9.54	-4.6		2760143.000	
31	31	112719_R2_Mitra_F_PO50MPK_PreDose	Analyte	1:D,12	10.000	2.74	180498			180497.516	10.17	1.7		2964649.000	
32	32	112719_R2_Mitra_F_PO50MPK_5min_10X	Analyte	1:E,1	10.000	2.74	177946			177945.688	10.03	0.3		2915939.000	
33	33	112719_R2_Mitra_F_PO50MPK_10min_10X	Analyte	1:E,2	10.000	2.74	172605			172605.047	9.72	-2.8		1993517.126	
34	34	112719_R2_Mitra_F_PO50MPK_15min_10X	Analyte	1:E,3	10.000	2.74	173444			173443.578	9.77	-2.3		2827017.000	
35	35	112719_R2_Mitra_F_PO50MPK_30min_10X	Analyte	1:E,4	10.000	2.74	167938			167938.016	9.46	-5.4		2729940.000	
36	36	112719_R2_Mitra_F_PO50MPK_45min_10X	Analyte	1:E,5	10.000	2.74	169244			169244.375	9.54	-4.6		2747251.000	
37	37	112719_R2_Mitra_F_PO50MPK_60min_10X	Analyte	1:E,6	10.000	2.74	167145			167145.250	9.42	-5.8		2703412.000	
38	38	112719_Female_MitragynineHCl_PK_LLOQ2	QC	1:B,1	10.000	2.74	179801			179801.109	10.13	1.3		2938015.000	
39	39	112719_Female_MitragynineHCl_PK_LQC2	QC	1:B,2	10.000	2.74	170769			170769.359	9.62	-3.8		2537469.541	
40	40	112719_Female_MitragynineHCl_PK_MQC2	QC	1:B,3	10.000	2.74	171563			171563.484	9.67	-3.3		2773109.000	
41	41	112719_Female_MitragynineHCl_PK_HQC2	QC	1:B,4	10.000	2.74	170875			170875.031	9.63	-3.7		2776154.000	
42	42	112719_R2_Mitra_F_PO50MPK_2hr_10X	Analyte	1:E,7	10.000	2.74	168655			168655.250	9.50	-5.0		2725699.000	
43	43	112719_R2_Mitra_F_PO50MPK_4hr_10X	Analyte	1:E,8	10.000	2.74	170922			170922.063	9.63	-3.7		2777621.000	
44	44	112719_R2_Mitra_F_PO50MPK_6hr	Analyte	1:E,9	10.000	2.74	169434			169434.156	9.55	-4.5		2741882.000	
45	45	112719_R2_Mitra_F_PO50MPK_8hr	Analyte	1:E,10	10.000	2.74	171384			171383.578	9.66	-3.4		2772703.000	
46	46	112719_R2_Mitra_F_PO50MPK_12hr	Analyte	1:E,11	10.000	2.74	172660			172659.688	9.73	-2.7		2796366.000	
47	47	112719_R2_Mitra_F_PO50MPK_24hr	Analyte	1:E,12	10.000	2.74	177259			177259.297	9.99	-0.1		519557.079	
48	48	112719_R2_Mitra_F_PO50MPK_36hr	Analyte	1:F,1	10.000	2.74	178847			178846.906	10.08	0.8		1202086.915	
49	49	112719_R2_Mitra_F_PO50MPK_48hr	Analyte	1:F,2	10.000	2.74	178186			178185.781	10.04	0.4		2863544.000	
50	50	112719_R3_Mitra_F_PO50MPK_PreDose	Analyte	1:F,3	10.000	2.74	172118			172118.297	9.70	-3.0		2775970.000	
51	51	112719_R3_Mitra_F_PO50MPK_5min_10X	Analyte	1:F,4	10.000	2.74	173764			173763.891	9.79	-2.1		2799516.000	
52	52	112719_R3_Mitra_F_PO50MPK_10min_10X	Analyte	1:F,5	10.000	2.74	172318			172317.500	9.71	-2.9		2762317.000	
53	53	112719_R3_Mitra_F_PO50MPK_15min_10X	Analyte	1:F,6	10.000	2.74	174722			174721.516	9.84	-1.6		2811053.000	
54	54	112719_R3_Mitra_F_PO50MPK_30min_10X	Analyte	1:F,7	10.000	2.74	168806			168805.828	9.51	-4.9		2700817.000	
55	55	112719_R3_Mitra_F_PO50MPK_45min_10X	Analyte	1:F,8	10.000	2.74	168560			168559.703	9.50	-5.0		2695699.000	
56	56	112719_R3_Mitra_F_PO50MPK_60min_10X	Analyte	1:F,9	10.000	2.74	168813			168813.250	9.51	-4.9		2704207.000	
57	57	112719_R3_Mitra_F_PO50MPK_2hr_10X	Analyte	1:F,10	10.000	2.74	168823			168823.000	9.51	-4.9		2701811.000	
58	58	112719_R3_Mitra_F_PO50MPK_4hr_10X	Analyte	1:F,11	10.000	2.74	174254			174253.594	9.82	-1.8		2798974.000	
59	59	112719_R3_Mitra_F_PO50MPK_6hr	Analyte	1:F,12	10.000	2.74	178164			178164.313	10.04	0.4		2865353.000	
60	60	112719_R3_Mitra_F_PO50MPK_8hr	Analyte	1:G,1	10.000	2.74	177325			177324.641	9.99	-0.1		2854250.000	
61	61	112719_R3_Mitra_F_PO50MPK_12hr	Analyte	1:G,2	10.000	2.74	174821			174821.016	9.85	-1.5		2780733.000	
62	62	112719_R3_Mitra_F_PO50MPK_24hr_5X	Analyte	1:G,3	10.000	2.74	172981			172981.219	9.75	-2.5		2772706.000	
63	63	112719_R3_Mitra_F_PO50MPK_36hr	Analyte	1:G,4	10.000	2.74	169198			169198.109	9.53	-4.7		2718400.000	
64	64	112719_R3_Mitra_F_PO50MPK_48hr	Analyte	1:G,5	10.000	2.74	170299			170299.406	9.59	-4.1		2719882.000	
65	65	112719_Female_MitragynineHCl_PK_LLOQ3	QC	1:B,5	10.000	2.74	174984			174983.688	9.86	-1.4		2794818.000	
66	66	112719_Female_MitragynineHCl_PK_LQC3	QC	1:B,6	10.000	2.74	176520			176519.625	9.94	-0.6		2816143.000	
67	67	112719_Female_MitragynineHCl_PK_MQC3	QC	1:B,7	10.000	2.74	174901			174900.953	9.85	-1.5		2789574.000	
68	68	112719_Female_MitragynineHCl_PK_HQC3	QC	1:B,8	10.000	2.74	173019			173018.563	9.75	-2.5		2744283.000	
69	69	112719_R4_Mitra_F_PO50MPK_PreDose	Analyte	1:G,6	10.000	2.74	168799			168799.469	9.51	-4.9		2677116.000	
70	70	112719_R4_Mitra_F_PO50MPK_5min_10X	Analyte	1:G,7	10.000	2.74	170077			170077.422	9.58	-4.2		2718788.000	
71	71	112719_R4_Mitra_F_PO50MPK_10min_10X	Analyte	1:G,8	10.000	2.74	168101			168100.516	9.47	-5.3		2654650.000	
72	72	112719_R4_Mitra_F_PO50MPK_15min_10X	Analyte	1:G,9	10.000	2.74	166585			166585.344	9.39	-6.1		2650062.000	
73	73	112719_R4_Mitra_F_PO50MPK_30min_10X	Analyte	1:G,10	10.000	2.74	170049			170048.703	9.58	-4.2		2705715.000	
74	74	112719_R4_Mitra_F_PO50MPK_45min_10X	Analyte	2:D,9	10.000	2.74	164142			164142.063	9.25	-7.5		2614001.000	
75	75	112719_R4_Mitra_F_PO50MPK_60min_10X	Analyte	1:G,12	10.000	2.74	173472			173472.406	9.77	-2.3		2819362.000	
76	76	112719_R4_Mitra_F_PO50MPK_2hr_10X	Analyte	1:H,1	10.000	2.74	177826			177825.984	10.02	0.2		2861868.000	
77	77	112719_R4_Mitra_F_PO50MPK_4hr_10X	Analyte	1:H,2	10.000	2.74	174930			174930.469	9.86	-1.4		2796828.000	
78	78	112719_R4_Mitra_F_PO50MPK_6hr	Analyte	1:H,3	10.000	2.74	175199			175199.172	9.87	-1.3		2798817.000	
79	79	112719_R4_Mitra_F_PO50MPK_8hr	Analyte	1:H,4	10.000	2.74	176080			176080.203	9.92	-0.8		2821019.000	
80	80	112719_R4_Mitra_F_PO50MPK_12hr	Analyte	1:H,5	10.000	2.74	173092			173091.875	9.75	-2.5		2768166.000	
81	81	112719_R4_Mitra_F_PO50MPK_24hr	Analyte	1:H,6	10.000	2.74	173558			173558.422	9.78	-2.2		2781626.000	
82	82	112719_R4_Mitra_F_PO50MPK_36hr	Analyte	1:H,7	10.000	2.74	173372			173372.172	9.77	-2.3		579070.598	
83	83	112719_R4_Mitra_F_PO50MPK_48hr	Analyte	1:H,8	10.000	2.74	174508			174507.500	9.83	-1.7		2777224.000	
84	84	112719_R5_Mitra_F_IP5MPK_PreDose	Analyte	1:H,9	10.000	2.74	173914			173913.672	9.80	-2.0		2765245.000	
85	85	112719_R5_Mitra_F_IP5MPK_5min_10X	Analyte	1:H,10	10.000	2.74	173537			173536.766	9.78	-2.2		686990.978	
86	86	112719_R5_Mitra_F_IP5MPK_15min_10X	Analyte	1:H,11	10.000	2.74	170537			170537.188	9.61	-3.9		746648.703	
87	87	112719_R5_Mitra_F_IP5MPK_30min_10X	Analyte	1:H,12	10.000	2.74	178028			178027.797	10.03	0.3		2880920.000	
88	88	112719_R5_Mitra_F_IP5MPK_45min_5X	Analyte	2:A,1	10.000	2.74	170150			170150.063	9.59	-4.1		2720526.000	
89	89	112719_R5_Mitra_F_IP5MPK_60min_5X	Analyte	2:A,2	10.000	2.74	166253			166253.156	9.37	-6.3		2637976.000	
90	90	112719_Female_MitragynineHCl_PK_LLOQ4	QC	1:B,9	10.000	2.74	169177			169176.938	9.53	-4.7		2676331.000	
91	91	112719_Female_MitragynineHCl_PK_LQC4	QC	1:B,10	10.000	2.74	171555			171555.359	9.67	-3.3		2726269.000	
92	92	112719_Female_MitragynineHCl_PK_MQC4	QC	1:B,11	10.000	2.74	170052			170051.547	9.58	-4.2		2701076.000	
93	93	112719_Female_MitragynineHCl_PK_HQC4	QC	1:B,12	10.000	2.74	177786			177785.531	10.02	0.2		2852154.000	
94	94	112719_R5_Mitra_F_IP5MPK_2hr_5X	Analyte	2:A,3	10.000	2.74	171510			171509.875	9.66	-3.4		2734131.000	
95	95	112719_R5_Mitra_F_IP5MPK_4hr_5X	Analyte	2:A,4	10.000	2.74	174549			174549.188	9.83	-1.7		2786734.000	
96	96	112719_R5_Mitra_F_IP5MPK_12hr	Analyte	2:A,6	10.000	2.74	179318			179317.672	10.10	1.0		1032354.310	
97	97	112719_R5_Mitra_F_IP5MPK_18hr	Analyte	2:A,7	10.000	2.74	179139			179138.781	10.09	0.9		2840197.000	
98	98	112719_R5_Mitra_F_IP5MPK_24hr	Analyte	2:A,8	10.000	2.74	178385			178385.203	10.05	0.5		2837180.000	
99	99	112719_R6_Mitra_F_IP5MPK_PreDose	Analyte	2:A,9	10.000	2.74	179064			179063.828	10.09	0.9		2847386.000	
100	100	112719_R6_Mitra_F_IP5MPK_5min_10X	Analyte	2:A,10	10.000	2.74	174654			174653.547	9.84	-1.6		2760297.000	
101	101	112719_R6_Mitra_F_IP5MPK_15min_10X	Analyte	2:A,11	10.000	2.74	168237			168237.469	9.48	-5.2		2663832.000	
102	102	112719_R6_Mitra_F_IP5MPK_30min_10X	Analyte	2:A,12	10.000	2.74	168961			168960.969	9.52	-4.8		2689965.000	
103	103	112719_R6_Mitra_F_IP5MPK_45min_5X	Analyte	2:B,1	10.000	2.74	167035			167034.844	9.41	-5.9		2651761.000	
104	104	112719_R6_Mitra_F_IP5MPK_60min_5X	Analyte	2:B,2	10.000	2.74	161249			161249.234	9.08	-9.2		2547727.000	
105	105	112719_R6_Mitra_F_IP5MPK_2hr_5X	Analyte	2:B,3	10.000	2.75	161585			161585.391	9.10	-9.0		2546514.000	
106	106	112719_R6_Mitra_F_IP5MPK_4hr_5X	Analyte	2:B,4	10.000	2.74	163551			163551.047	9.21	-7.9		2591359.000	
107	107	112719_R6_Mitra_F_IP5MPK_8hr	Analyte	2:B,5	10.000	2.75	166262			166262.297	9.37	-6.3		2605745.000	
108	108	112719_R6_Mitra_F_IP5MPK_12hr	Analyte	2:B,6	10.000	2.74	170834			170833.953	9.62	-3.8		2676281.000	
109	109	112719_R6_Mitra_F_IP5MPK_18hr	Analyte	2:B,7	10.000	2.75	168750			168749.703	9.51	-4.9		2656694.000	
110	110	112719_R6_Mitra_F_IP5MPK_24hr	Analyte	2:B,8	10.000	2.74	167051			167050.766	9.41	-5.9		2623299.000	
111	111	112719_R7_Mitra_F_IP5MPK_PreDose	Analyte	2:B,9	10.000	2.75	163771			163771.438	9.23	-7.7		2590074.000	
112	112	112719_R7_Mitra_F_IP5MPK_5min_10X	Analyte	2:B,10	10.000	2.75	160852			160851.750	9.06	-9.4		2549839.000	
113	113	112719_R7_Mitra_F_IP5MPK_15min_10X	Analyte	2:B,11	10.000	2.75	162308			162307.609	9.14	-8.6		2534058.000	
114	114	112719_Female_MitragynineHCl_PK_LLOQ5	QC	1:C,1	10.000	2.75	179352			179351.625	10.10	1.0		2863569.000	
115	115	112719_Female_MitragynineHCl_PK_LQC5	QC	1:C,2	10.000	2.75	172095			172095.313	9.70	-3.0		2711697.000	
116	116	112719_Female_MitragynineHCl_PK_MQC5	QC	1:C,3	10.000	2.75	171357			171357.453	9.65	-3.5		2704988.000	
117	117	112719_Female_MitragynineHCl_PK_HQC5	QC	1:C,4	10.000	2.75	171831			171831.156	9.68	-3.2		2713649.000	
118	118	112719_R7_Mitra_F_IP5MPK_30min_10X	Analyte	2:B,12	10.000	2.75	166716			166715.906	9.39	-6.1		2654743.000	
119	119	112719_R7_Mitra_F_IP5MPK_45min_5X	Analyte	2:C,1	10.000	2.75	173852			173852.203	9.79	-2.1		2762359.000	
120	120	112719_R7_Mitra_F_IP5MPK_60min_5X	Analyte	2:C,2	10.000	2.75	161494			161494.406	9.10	-9.0		2547340.000	
121	121	112719_R7_Mitra_F_IP5MPK_2hr_5X	Analyte	2:C,3	10.000	2.75	162408			162408.453	9.15	-8.5		2557364.000	
122	122	112719_R7_Mitra_F_IP5MPK_4hr_5X	Analyte	2:C,4	10.000	2.75	165159			165158.859	9.30	-7.0		2609297.000	
123	123	112719_R7_Mitra_F_IP5MPK_8hr	Analyte	2:C,5	10.000	2.75	163933			163932.547	9.24	-7.6		2573817.000	
124	124	112719_R7_Mitra_F_IP5MPK_12hr	Analyte	2:C,6	10.000	2.75	165221			165220.594	9.31	-6.9		2005093.419	
125	125	112719_R7_Mitra_F_IP5MPK_18hr	Analyte	2:C,7	10.000	2.75	161169			161168.563	9.08	-9.2		1181743.764	
126	126	112719_R7_Mitra_F_IP5MPK_24hr	Analyte	2:C,8	10.000	2.75	161989			161988.656	9.13	-8.7		2549900.000	
127	127	112719_R8_Mitra_F_IP5MPK_PreDose	Analyte	2:C,9	10.000	2.75	165379			165379.297	9.32	-6.8		2601328.000	
128	128	112719_R8_Mitra_F_IP5MPK_5min_10X	Analyte	2:C,10	10.000	2.75	165827			165826.984	9.34	-6.6		2630902.000	
129	129	112719_R8_Mitra_F_IP5MPK_15min_10X	Analyte	2:C,11	10.000	2.75	168279			168278.813	9.48	-5.2		2677542.000	
130	130	112719_R8_Mitra_F_IP5MPK_30min_10X	Analyte	2:C,12	10.000	2.75	173290			173290.391	9.76	-2.4		2781063.000	
131	131	112719_R8_Mitra_F_IP5MPK_45min_5X	Analyte	2:D,1	10.000	2.75	169087			169087.469	9.53	-4.7		2675047.000	
132	132	112719_R8_Mitra_F_IP5MPK_60min_5X	Analyte	2:D,2	10.000	2.75	161047			161046.609	9.07	-9.3		2563426.000	
133	133	112719_R8_Mitra_F_IP5MPK_2hr_5X	Analyte	2:D,3	10.000	2.75	163166			163165.719	9.19	-8.1		2573190.000	
134	134	112719_R8_Mitra_F_IP5MPK_4hr_5X	Analyte	2:D,4	10.000	2.75	163249			163249.094	9.20	-8.0		2599077.000	
135	135	112719_R8_Mitra_F_IP5MPK_8hr	Analyte	2:D,5	10.000	2.75	162884			162883.719	9.18	-8.2		2576190.000	
136	136	112719_R8_Mitra_F_IP5MPK_12hr	Analyte	2:D,6	10.000	2.75	162433			162432.656	9.15	-8.5		2579446.000	
137	137	112719_R8_Mitra_F_IP5MPK_18hr	Analyte	2:D,7	10.000	2.75	160165			160164.578	9.02	-9.8		558915.438	
138	138	112719_R8_Mitra_F_IP5MPK_24hr	Analyte	2:D,8	10.000	2.75	159644			159644.219	8.99	-10.1		2518314.000	
139	139	112719_Female_MitragynineHCl_PK_LLOQ6	QC	1:C,5	10.000	2.75	166711			166711.125	9.39	-6.1		2640552.000	
140	140	112719_Female_MitragynineHCl_PK_LQC6	QC	1:C,6	10.000	2.75	170941			170941.391	9.63	-3.7		425740.359	
141	141	112719_Female_MitragynineHCl_PK_MQC6	QC	1:C,7	10.000	2.75	167844			167843.531	9.46	-5.4		2637347.000	
142	142	112719_Female_MitragynineHCl_PK_HQC6	QC	1:C,8	10.000	2.75	169642			169641.516	9.56	-4.4		2659421.000	

Compound 4:  Ketoconazole

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
1	1	112719_Female_MitragynineHCl_PK_CS0		2:H,10											
2	2	112719_Female_MitragynineHCl_PK_CS0_IS		2:H,11				174355							
3	3	112719_Female_MitragynineHCl_PK_CS1	Standard	1:A,1	1.000			178638							
4	4	112719_Female_MitragynineHCl_PK_CS2	Standard	1:A,2	2.500			177223							
5	5	112719_Female_MitragynineHCl_PK_CS3	Standard	1:A,3	5.000			175962							
6	6	112719_Female_MitragynineHCl_PK_CS4	Standard	1:A,4	20.000			174938							
7	7	112719_Female_MitragynineHCl_PK_CS5	Standard	1:A,5	50.000			175735							
8	8	112719_Female_MitragynineHCl_PK_CS6	Standard	1:A,6	100.000			178964							
9	9	112719_Female_MitragynineHCl_PK_CS7	Standard	1:A,7	150.000			178363							
10	10	112719_Female_MitragynineHCl_PK_CS8	Standard	1:A,8	200.000			180152							
11	11	112719_Female_MitragynineHCl_PK_CS0_IS2		2:H,11				176969							
12	12	112719_Female_MitragynineHCl_PK_LLOQ1	QC	1:A,9	1.000			177286							
13	13	112719_Female_MitragynineHCl_PK_LQC1	QC	1:A,10	3.000			174282							
14	14	112719_Female_MitragynineHCl_PK_MQC1	QC	1:A,11	90.000			178702							
15	15	112719_Female_MitragynineHCl_PK_HQC1	QC	1:A,12	180.000			179763							
16	16	112719_R1_Mitra_F_PO50MPK_PreDose	Analyte	1:C,9				169775							
17	17	112719_R1_Mitra_F_PO50MPK_5min_10X	Analyte	1:C,10				169214							
18	18	112719_R1_Mitra_F_PO50MPK_10min_10X	Analyte	1:C,11				168972							
19	19	112719_R1_Mitra_F_PO50MPK_15min_10X	Analyte	1:C,12				177449							
20	20	112719_R1_Mitra_F_PO50MPK_30min_10X	Analyte	1:D,1				179447							
21	21	112719_R1_Mitra_F_PO50MPK_45min_10X	Analyte	1:D,2				169240							
22	22	112719_R1_Mitra_F_PO50MPK_60min_10X	Analyte	1:D,3				169558							
23	23	112719_R1_Mitra_F_PO50MPK_2hr_10X	Analyte	1:D,4				169303							
24	24	112719_R1_Mitra_F_PO50MPK_4hr_10X	Analyte	1:D,5				169725							
25	25	112719_R1_Mitra_F_PO50MPK_6hr_10X	Analyte	1:D,6				168973							
26	26	112719_R1_Mitra_F_PO50MPK_8hr	Analyte	1:D,7				169799							
27	27	112719_R1_Mitra_F_PO50MPK_12hr	Analyte	1:D,8				169291							
28	28	112719_R1_Mitra_F_PO50MPK_24hr	Analyte	1:D,9				171087							
29	29	112719_R1_Mitra_F_PO50MPK_36hr	Analyte	1:D,10				170171							
30	30	112719_R1_Mitra_F_PO50MPK_48hr	Analyte	1:D,11				169339							
31	31	112719_R2_Mitra_F_PO50MPK_PreDose	Analyte	1:D,12				180498							
32	32	112719_R2_Mitra_F_PO50MPK_5min_10X	Analyte	1:E,1				177946							
33	33	112719_R2_Mitra_F_PO50MPK_10min_10X	Analyte	1:E,2				172605							
34	34	112719_R2_Mitra_F_PO50MPK_15min_10X	Analyte	1:E,3				173444							
35	35	112719_R2_Mitra_F_PO50MPK_30min_10X	Analyte	1:E,4				167938							
36	36	112719_R2_Mitra_F_PO50MPK_45min_10X	Analyte	1:E,5				169244							
37	37	112719_R2_Mitra_F_PO50MPK_60min_10X	Analyte	1:E,6				167145							
38	38	112719_Female_MitragynineHCl_PK_LLOQ2	QC	1:B,1	1.000			179801							
39	39	112719_Female_MitragynineHCl_PK_LQC2	QC	1:B,2	3.000			170769							
40	40	112719_Female_MitragynineHCl_PK_MQC2	QC	1:B,3	90.000			171563							
41	41	112719_Female_MitragynineHCl_PK_HQC2	QC	1:B,4	180.000			170875							
42	42	112719_R2_Mitra_F_PO50MPK_2hr_10X	Analyte	1:E,7				168655							
43	43	112719_R2_Mitra_F_PO50MPK_4hr_10X	Analyte	1:E,8				170922							
44	44	112719_R2_Mitra_F_PO50MPK_6hr	Analyte	1:E,9				169434							
45	45	112719_R2_Mitra_F_PO50MPK_8hr	Analyte	1:E,10				171384							
46	46	112719_R2_Mitra_F_PO50MPK_12hr	Analyte	1:E,11				172660							
47	47	112719_R2_Mitra_F_PO50MPK_24hr	Analyte	1:E,12				177259							
48	48	112719_R2_Mitra_F_PO50MPK_36hr	Analyte	1:F,1				178847							
49	49	112719_R2_Mitra_F_PO50MPK_48hr	Analyte	1:F,2				178186							
50	50	112719_R3_Mitra_F_PO50MPK_PreDose	Analyte	1:F,3				172118							
51	51	112719_R3_Mitra_F_PO50MPK_5min_10X	Analyte	1:F,4				173764							
52	52	112719_R3_Mitra_F_PO50MPK_10min_10X	Analyte	1:F,5				172318							
53	53	112719_R3_Mitra_F_PO50MPK_15min_10X	Analyte	1:F,6				174722							
54	54	112719_R3_Mitra_F_PO50MPK_30min_10X	Analyte	1:F,7				168806							
55	55	112719_R3_Mitra_F_PO50MPK_45min_10X	Analyte	1:F,8				168560							
56	56	112719_R3_Mitra_F_PO50MPK_60min_10X	Analyte	1:F,9				168813							
57	57	112719_R3_Mitra_F_PO50MPK_2hr_10X	Analyte	1:F,10				168823							
58	58	112719_R3_Mitra_F_PO50MPK_4hr_10X	Analyte	1:F,11				174254							
59	59	112719_R3_Mitra_F_PO50MPK_6hr	Analyte	1:F,12				178164							
60	60	112719_R3_Mitra_F_PO50MPK_8hr	Analyte	1:G,1				177325							
61	61	112719_R3_Mitra_F_PO50MPK_12hr	Analyte	1:G,2				174821							
62	62	112719_R3_Mitra_F_PO50MPK_24hr_5X	Analyte	1:G,3				172981							
63	63	112719_R3_Mitra_F_PO50MPK_36hr	Analyte	1:G,4				169198							
64	64	112719_R3_Mitra_F_PO50MPK_48hr	Analyte	1:G,5				170299							
65	65	112719_Female_MitragynineHCl_PK_LLOQ3	QC	1:B,5	1.000			174984							
66	66	112719_Female_MitragynineHCl_PK_LQC3	QC	1:B,6	3.000			176520							
67	67	112719_Female_MitragynineHCl_PK_MQC3	QC	1:B,7	90.000			174901							
68	68	112719_Female_MitragynineHCl_PK_HQC3	QC	1:B,8	180.000			173019							
69	69	112719_R4_Mitra_F_PO50MPK_PreDose	Analyte	1:G,6				168799							
70	70	112719_R4_Mitra_F_PO50MPK_5min_10X	Analyte	1:G,7				170077							
71	71	112719_R4_Mitra_F_PO50MPK_10min_10X	Analyte	1:G,8				168101							
72	72	112719_R4_Mitra_F_PO50MPK_15min_10X	Analyte	1:G,9				166585							
73	73	112719_R4_Mitra_F_PO50MPK_30min_10X	Analyte	1:G,10				170049							
74	74	112719_R4_Mitra_F_PO50MPK_45min_10X	Analyte	2:D,9				164142							
75	75	112719_R4_Mitra_F_PO50MPK_60min_10X	Analyte	1:G,12				173472							
76	76	112719_R4_Mitra_F_PO50MPK_2hr_10X	Analyte	1:H,1				177826							
77	77	112719_R4_Mitra_F_PO50MPK_4hr_10X	Analyte	1:H,2				174930							
78	78	112719_R4_Mitra_F_PO50MPK_6hr	Analyte	1:H,3				175199							
79	79	112719_R4_Mitra_F_PO50MPK_8hr	Analyte	1:H,4				176080							
80	80	112719_R4_Mitra_F_PO50MPK_12hr	Analyte	1:H,5				173092							
81	81	112719_R4_Mitra_F_PO50MPK_24hr	Analyte	1:H,6				173558							
82	82	112719_R4_Mitra_F_PO50MPK_36hr	Analyte	1:H,7				173372							
83	83	112719_R4_Mitra_F_PO50MPK_48hr	Analyte	1:H,8				174508							
84	84	112719_R5_Mitra_F_IP5MPK_PreDose	Analyte	1:H,9				173914							
85	85	112719_R5_Mitra_F_IP5MPK_5min_10X	Analyte	1:H,10				173537							
86	86	112719_R5_Mitra_F_IP5MPK_15min_10X	Analyte	1:H,11				170537							
87	87	112719_R5_Mitra_F_IP5MPK_30min_10X	Analyte	1:H,12				178028							
88	88	112719_R5_Mitra_F_IP5MPK_45min_5X	Analyte	2:A,1				170150							
89	89	112719_R5_Mitra_F_IP5MPK_60min_5X	Analyte	2:A,2				166253							
90	90	112719_Female_MitragynineHCl_PK_LLOQ4	QC	1:B,9	1.000			169177							
91	91	112719_Female_MitragynineHCl_PK_LQC4	QC	1:B,10	3.000			171555							
92	92	112719_Female_MitragynineHCl_PK_MQC4	QC	1:B,11	90.000			170052							
93	93	112719_Female_MitragynineHCl_PK_HQC4	QC	1:B,12	180.000			177786							
94	94	112719_R5_Mitra_F_IP5MPK_2hr_5X	Analyte	2:A,3				171510							
95	95	112719_R5_Mitra_F_IP5MPK_4hr_5X	Analyte	2:A,4				174549							
96	96	112719_R5_Mitra_F_IP5MPK_12hr	Analyte	2:A,6				179318							
97	97	112719_R5_Mitra_F_IP5MPK_18hr	Analyte	2:A,7				179139							
98	98	112719_R5_Mitra_F_IP5MPK_24hr	Analyte	2:A,8				178385							
99	99	112719_R6_Mitra_F_IP5MPK_PreDose	Analyte	2:A,9				179064							
100	100	112719_R6_Mitra_F_IP5MPK_5min_10X	Analyte	2:A,10				174654							
