Quantify Compound Summary Report 

Printed Fri Nov 15 20:11:10 2024

Compound 1:  MITRAGYNINE

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
37	37	112719_R2_Mitra_F_PO50MPK_60min_10X	Analyte	1:E,6		0.90	3795	167145	0.023	0.227	6.84			52469.000	
38	38	112719_Female_MitragynineHCl_PK_LLOQ2	QC	1:B,1	1.000	0.90	626	179801	0.003	0.035	1.19	18.6		8200.000	
39	39	112719_Female_MitragynineHCl_PK_LQC2	QC	1:B,2	3.000	0.91	1771	170769	0.010	0.104	3.21	7.1		18968.100	
40	40	112719_Female_MitragynineHCl_PK_MQC2	QC	1:B,3	90.000	0.90	55601	171563	0.324	3.241	95.51	6.1		768993.000	
41	41	112719_Female_MitragynineHCl_PK_HQC2	QC	1:B,4	180.000	0.90	112964	170875	0.661	6.611	194.66	8.1		1559707.000	
42	42	112719_R2_Mitra_F_PO50MPK_2hr_10X	Analyte	1:E,7		0.90	4362	168655	0.026	0.259	7.77			60221.000	
43	43	112719_R2_Mitra_F_PO50MPK_4hr_10X	Analyte	1:E,8		0.91	2603	170922	0.015	0.152	4.64			35059.000	
44	44	112719_R2_Mitra_F_PO50MPK_6hr	Analyte	1:E,9		0.91	20861	169434	0.123	1.231	36.39			278013.000	
45	45	112719_R2_Mitra_F_PO50MPK_8hr	Analyte	1:E,10		0.90	18044	171384	0.105	1.053	31.14			242737.000	
46	46	112719_R2_Mitra_F_PO50MPK_12hr	Analyte	1:E,11		0.90	24718	172660	0.143	1.432	42.28			328998.000	
47	47	112719_R2_Mitra_F_PO50MPK_24hr	Analyte	1:E,12		0.91	38881	177259	0.219	2.193	64.70			521616.000	
48	48	112719_R2_Mitra_F_PO50MPK_36hr	Analyte	1:F,1		0.90	17751	178847	0.099	0.993	29.36			51374.835	
49	49	112719_R2_Mitra_F_PO50MPK_48hr	Analyte	1:F,2		0.90	6473	178186	0.036	0.363	10.85			86017.000	
50	50	112719_R3_Mitra_F_PO50MPK_PreDose	Analyte	1:F,3		0.90	41	172118	0.000	0.002	0.23			349.000	
51	51	112719_R3_Mitra_F_PO50MPK_5min_10X	Analyte	1:F,4		0.90	24	173764	0.000	0.001	0.20			274.000	
52	52	112719_R3_Mitra_F_PO50MPK_10min_10X	Analyte	1:F,5		0.90	437	172318	0.003	0.025	0.91			5606.000	
53	53	112719_R3_Mitra_F_PO50MPK_15min_10X	Analyte	1:F,6		0.90	1463	174722	0.008	0.084	2.63			19977.000	
54	54	112719_R3_Mitra_F_PO50MPK_30min_10X	Analyte	1:F,7		0.90	145	168806	0.001	0.009	0.41			1631.000	
55	55	112719_R3_Mitra_F_PO50MPK_45min_10X	Analyte	1:F,8		0.91	2166	168560	0.013	0.128	3.94			28295.000	
56	56	112719_R3_Mitra_F_PO50MPK_60min_10X	Analyte	1:F,9		0.91	1815	168813	0.011	0.108	3.33			24068.000	
57	57	112719_R3_Mitra_F_PO50MPK_2hr_10X	Analyte	1:F,10		0.91	2144	168823	0.013	0.127	3.90			28219.000	
58	58	112719_R3_Mitra_F_PO50MPK_4hr_10X	Analyte	1:F,11		0.90	943	174254	0.005	0.054	1.75			1161.013	
59	59	112719_R3_Mitra_F_PO50MPK_6hr	Analyte	1:F,12		0.90	8315	178164	0.047	0.467	13.89			107899.000	
60	60	112719_R3_Mitra_F_PO50MPK_8hr	Analyte	1:G,1		0.91	10850	177325	0.061	0.612	18.17			144650.000	
61	61	112719_R3_Mitra_F_PO50MPK_12hr	Analyte	1:G,2		0.91	10743	174821	0.061	0.615	18.24			136439.000	
62	62	112719_R3_Mitra_F_PO50MPK_24hr_5X	Analyte	1:G,3		0.90	4404	172981	0.025	0.255	7.65			60501.000	
63	63	112719_R3_Mitra_F_PO50MPK_36hr	Analyte	1:G,4		0.90	14586	169198	0.086	0.862	25.53			198707.000	
64	64	112719_R3_Mitra_F_PO50MPK_48hr	Analyte	1:G,5		0.90	5419	170299	0.032	0.318	9.53			71068.000	
65	65	112719_Female_MitragynineHCl_PK_LLOQ3	QC	1:B,5	1.000	0.90	632	174984	0.004	0.036	1.23	22.5		1476.045	
66	66	112719_Female_MitragynineHCl_PK_LQC3	QC	1:B,6	3.000	0.90	1659	176520	0.009	0.094	2.93	-2.4		22860.000	
