Quantify Compound Summary Report 

Printed Wed Oct 30 12:27:59 2024

Compound 1:  NEU7032

	#	Name	Type	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	S/N	Vial	Conc. Dev. Flagged	%Dev
45	45	07182024_NEU_PK_BLK_PLASM9			3.09	362	9.377	38.60680	772.136	125.1	11.941	1:E,2	NO	
46	46	07182024_NEU_PK_LLOQ_2A	QC	1.000	3.09	10985	40801.148	0.26923	5.385	0.8	796.768	1:F,9	NO	-22.3
47	47	07182024_NEU_PK_LQC_2A	QC	3.000	3.09	36050	40241.004	0.89586	17.917	2.8	1567.411	1:F,10	NO	-6.3
48	48	07182024_NEU_PK_MQC_2A	QC	90.000	3.09	1007492	39449.016	25.53908	510.782	82.7	32575.500	1:F,11	NO	-8.1
49	49	07182024_NEU_PK_HQC_2A	QC	180.000	3.09	2409130	41875.988	57.53010	1150.602	186.5	144633.755	1:F,12	NO	3.6
50	50	07182024_NEU_PK_BLK_PLASM10										1:E,2		
51	51	DILUTED SAMPLES												
52	52	07182024_NEU_BLK_ACN1A			3.09	9745	17.047	571.62885	11432.577	1853.8	478.430	1:A,1	NO	
53	53	07182024_NEU_BLK_ACN2A			3.09	9809	22.623	433.59705	8671.941	1406.1	751.382	1:A,1	NO	
54	54	07182024_NEU_7032_IP_5MG_MICE_PK_10X_30MIN			3.09	1487419	37148.195	40.04014	800.803	129.8	78161.920	1:H,1	NO	
55	55	07182024_NEU_7032_IP_5MG_MICE_PK_10x_1HR			3.09	1609955	36645.504	43.93322	878.664	142.4	92385.802	1:H,2	NO	
56	56	07182024_NEU_7032_IP_5MG_MICE_PK_10x_2HR			3.09	702205	36393.715	19.29467	385.893	62.5	36762.395	1:H,3	NO	
57	57	07182024_NEU_PK_BLK_PLASM13			3.09	1386	23.148	59.87113	1197.423	194.1	74.404	1:E,2	NO	
58	58	07182024_NEU_PK_LLOQ_1A	QC	1.000	3.09	14030	42757.313	0.32814	6.563	1.0	487.076	1:F,1	NO	-3.1
59	59	07182024_NEU_PK_LQC_1A	QC	3.000	3.09	32377	41398.309	0.78207	15.641	2.4	2219.230	1:F,2	NO	-18.6
60	60	07182024_NEU_PK_MQC_1A	QC	90.000	3.09	1066389	39726.891	26.84300	536.860	87.0	28709.673	1:F,3	NO	-3.4
61	61	07182024_NEU_PK_HQC_1A	QC	180.000	3.09	2426113	42663.016	56.86689	1137.338	184.3	47329.676	1:F,4	NO	2.4
62	62	07182024_NEU_PK_BLK_PLASM14			3.09	2595	17.978	144.34609	2886.922	468.0	132.279	1:E,2	NO	
63	63	07182024_NEU_7369_IP_5MG_MICE_PK_10x_30MIN			3.09	1163	35532.926	0.03273	0.655	0.0	55.246	1:H,4	NO	
64	64	07182024_NEU_7369_IP_5MG_MICE_PK_10x_1HR			3.09	1067	35451.168	0.03009	0.602	0.0	80.869	1:H,5	NO	
65	65	07182024_NEU_7369_IP_5MG_MICE_PK_10x_2HR			3.09	853	37071.215	0.02301	0.460		61.439	1:H,6	NO	
66	66	07182024_NEU_PK_BLK_PLASM15			3.09	434	8.000	54.19150	1083.830	175.7	15.603	1:E,2	NO	
67	67	07182024_NEU_PK_LLOQ_2A	QC	1.000	3.09	10985	40801.148	0.26923	5.385	0.8	796.768	1:F,9	NO	-22.3
68	68	07182024_NEU_PK_LQC_2A	QC	3.000	3.09	36050	40241.004	0.89586	17.917	2.8	1567.411	1:F,10	NO	-6.3
69	69	07182024_NEU_PK_MQC_2A	QC	90.000	3.09	1007492	39449.016	25.53908	510.782	82.7	32575.500	1:F,11	NO	-8.1
70	70	07182024_NEU_PK_HQC_2A	QC	180.000	3.09	2409130	41875.988	57.53010	1150.602	186.5	144633.755	1:F,12	NO	3.6
71	71	07182024_NEU_PK_BLK_PLASM16			3.09	2569	4.427	580.27152	11605.430	1881.8	171.201	1:E,2	NO	
72	72	07182024_NEU_7032_DRUG_CONTENT_FORMULATION_1020x_1			3.09	18151182	37551.191	483.37167	9667.433	1567.6	463785.031	1:B,1	NO	
73	73	07182024_NEU_7032_DRUG_CONTENT_FORMULATION_1020x_2			3.09	19371686	37362.629	518.47759	10369.552	1681.4	669187.121	1:B,2	NO	
74	74	07182024_NEU_7032_DRUG_CONTENT_FORMULATION_1020x_3			3.10	20253604	36853.965	549.56377	10991.275	1782.3	550006.819	1:B,3	NO	
75	75	07182024_NEU_7369_DRUG_CONTENT_FORMULATION_1020x_1			3.09	37496	38107.031	0.98396	19.679	3.1	924.284	1:B,4	NO	
76	76	07182024_NEU_7369_DRUG_CONTENT_FORMULATION_1020x_2			3.09	15584	37370.113	0.41701	8.340	1.3	502.809	1:B,5	NO	
77	77	07182024_NEU_7369_DRUG_CONTENT_FORMULATION_1020x_3			3.09	11438	38582.129	0.29647	5.929	0.9	510.564	1:B,6	NO	
78	78	07182024_NEU_BLK_ACN8			3.09	14664	9.394	1560.96604	31219.321	5062.4	660.042	1:A,1	NO	
79	79	07182024_NEU_BLK_ACN9			3.09	14240	3.963	3593.11532	71862.306	11653.1	785.885	1:A,1	NO	
80	80	07182024_NEU_BLK_ACN10			3.09	13403	12.517	1070.80906	21416.181	3472.8	735.309	1:A,1	NO	

Compound 2:  NEU7369

	#	Name	Type	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	S/N	Vial	Conc. Dev. Flagged	%Dev
1	1	07182024_NEU_BLK_ACN1			2.55	2362					154.900	1:A,1	NO	
2	2	07182024_NEU_BLK_ACN2			2.56	404	42.987	9.39831	187.966	63.0	54.585	1:A,1	NO	
3	3	07182024_NEU_BLK_ACN3										1:A,1		
4	4	07182024_NEU_SST1A			2.56	523004	35065.637	14.91501	298.300	99.9	34538.914	1:E,4	NO	
